"","Wynik_funkcji_fitness","Indeks_wyniku","Czas","Szansa_na_mutacje","Populacja","Elityzm"
"303",91,12,6.17200000000003,0.3,110,0
"382",91,20,6.18700000000035,0.4,110,1
"701",89,1,6.20900000000074,0.8,100,0
"343",91,30,6.26099999999997,0.35,110,0
"780",90,12,6.27299999999923,0.9,100,1
"820",90,2,6.27800000000025,0.95,100,1
"741",89,10,6.27999999999975,0.85,100,0
"383",90,37,6.30099999999993,0.4,110,0
"781",90,52,6.3100000000004,0.9,100,0
"422",91,32,6.31899999999996,0.45,110,1
"860",89,24,6.33200000000033,1,100,1
"821",89,10,6.35100000000057,0.95,100,0
"462",90,9,6.35399999999981,0.5,110,1
"66",91,6,6.36000000000013,0,130,1
"104",91,8,6.37299999999982,0.05,120,1
"105",91,9,6.40200000000004,0.05,120,0
"861",90,31,6.40599999999995,1,100,0
"423",90,4,6.40700000000015,0.45,110,0
"542",91,6,6.40899999999965,0.6,110,1
"25",91,10,6.41300000000001,0,130,1
"26",89,3,6.41600000000017,0,130,0
"144",91,11,6.42200000000003,0.1,120,1
"463",91,73,6.42399999999998,0.5,110,0
"503",90,11,6.43499999999949,0.55,110,0
"67",91,5,6.44100000000003,0,130,0
"502",91,85,6.45399999999972,0.55,110,1
"184",91,15,6.49400000000014,0.15,120,1
"145",91,13,6.50699999999983,0.1,120,0
"582",90,83,6.53699999999935,0.65,110,1
"224",91,14,6.54800000000023,0.2,120,1
"185",91,21,6.55199999999968,0.15,120,0
"543",90,50,6.55599999999959,0.6,110,0
"622",90,71,6.60099999999966,0.7,110,1
"264",91,8,6.61400000000003,0.25,120,1
"662",90,39,6.63499999999931,0.75,110,1
"583",90,66,6.63600000000042,0.65,110,0
"225",91,26,6.63900000000012,0.2,120,0
"304",91,27,6.66600000000017,0.3,120,1
"344",91,50,6.70299999999997,0.35,120,1
"623",90,46,6.70599999999922,0.7,110,0
"265",91,48,6.7170000000001,0.25,120,0
"305",90,9,6.74599999999964,0.3,120,0
"663",90,84,6.75700000000052,0.75,110,0
"702",90,20,6.76699999999983,0.8,110,1
"742",90,38,6.77499999999964,0.85,110,1
"345",90,6,6.79700000000003,0.35,120,0
"384",91,48,6.79899999999998,0.4,120,1
"703",89,41,6.82499999999982,0.8,110,0
"68",90,6,6.8420000000001,0,140,1
"782",90,29,6.84900000000016,0.9,110,1
"424",90,27,6.86799999999994,0.45,120,1
"27",90,12,6.87799999999993,0,140,1
"69",90,4,6.87799999999993,0,140,0
"28",90,6,6.88400000000001,0,140,0
"106",91,33,6.8900000000001,0.05,130,1
"385",91,30,6.90000000000009,0.4,120,0
"743",89,23,6.91299999999956,0.85,110,0
"146",91,10,6.92600000000016,0.1,130,1
"822",90,10,6.92900000000009,0.95,110,1
"783",90,9,6.9340000000002,0.9,110,0
"425",91,32,6.9369999999999,0.45,120,0
"464",91,20,6.94399999999996,0.5,120,1
"465",90,13,7.00799999999981,0.5,120,0
"504",90,10,7.01400000000012,0.55,120,1
"186",91,11,7.01800000000003,0.15,130,1
"862",89,35,7.03399999999965,1,110,1
"505",89,12,7.0600000000004,0.55,120,0
"107",91,15,7.0619999999999,0.05,130,0
"544",90,18,7.07800000000043,0.6,120,1
"147",91,8,7.09099999999989,0.1,130,0
"863",89,39,7.11299999999937,1,110,0
"823",89,4,7.11999999999989,0.95,110,0
"187",91,11,7.12300000000005,0.15,130,0
"226",91,24,7.1260000000002,0.2,130,1
"545",90,12,7.1269999999995,0.6,120,0
"266",91,15,7.14000000000033,0.25,130,1
"584",91,99,7.17100000000028,0.65,120,1
"624",89,2,7.22200000000066,0.7,120,1
"306",91,51,7.23199999999997,0.3,130,1
"227",91,11,7.25199999999995,0.2,130,0
"307",91,25,7.25500000000011,0.3,130,0
"267",91,15,7.25900000000001,0.25,130,0
"585",90,81,7.26599999999962,0.65,120,0
"346",91,6,7.28800000000001,0.35,130,1
"625",89,7,7.29200000000037,0.7,120,0
"664",90,51,7.29999999999927,0.75,120,1
"70",90,4,7.36199999999985,0,150,1
"29",91,7,7.36300000000006,0,150,1
"665",89,21,7.37400000000071,0.75,120,0
"347",91,54,7.39000000000033,0.35,130,0
"704",90,48,7.39299999999912,0.8,120,1
"108",91,9,7.39400000000001,0.05,140,1
"386",90,4,7.39899999999989,0.4,130,1
"30",90,7,7.43499999999995,0,150,0
"426",90,40,7.44100000000026,0.45,130,1
"71",90,6,7.44200000000001,0,150,0
"387",90,14,7.46300000000019,0.4,130,0
"705",91,38,7.49399999999969,0.8,120,0
"744",89,3,7.49799999999959,0.85,120,1
"745",90,49,7.51800000000003,0.85,120,0
"466",90,29,7.52399999999989,0.5,130,1
"784",90,59,7.54299999999967,0.9,120,1
"148",91,5,7.5440000000001,0.1,140,1
"506",90,11,7.55100000000039,0.55,130,1
"188",91,19,7.55300000000034,0.15,140,1
"785",89,8,7.58200000000033,0.9,120,0
"109",91,10,7.58300000000008,0.05,140,0
"427",91,57,7.58699999999999,0.45,130,0
"149",91,17,7.58999999999992,0.1,140,0
"824",89,1,7.6309999999994,0.95,120,1
"467",90,14,7.63200000000006,0.5,130,0
"228",91,15,7.66800000000012,0.2,140,1
"189",91,13,7.6869999999999,0.15,140,0
"825",89,11,7.69699999999921,0.95,120,0
"546",90,79,7.70000000000073,0.6,130,1
"864",89,16,7.70399999999972,1,120,1
"268",91,19,7.73499999999967,0.25,140,1
"229",91,7,7.74199999999973,0.2,140,0
"507",90,20,7.74200000000019,0.55,130,0
"586",90,11,7.76199999999972,0.65,130,1
"547",90,8,7.79100000000017,0.6,130,0
"269",91,16,7.79199999999992,0.25,140,0
"308",91,52,7.79599999999982,0.3,140,1
"865",90,58,7.8090000000002,1,120,0
"626",91,20,7.84499999999935,0.7,130,1
"31",90,6,7.86500000000001,0,160,1
"309",91,63,7.88500000000022,0.3,140,0
"72",91,6,7.8900000000001,0,160,1
"587",90,14,7.90899999999965,0.65,130,0
"32",90,4,7.91200000000003,0,160,0
"627",89,9,7.93399999999929,0.7,130,0
"666",90,46,7.94599999999991,0.75,130,1
"73",90,3,7.94899999999984,0,160,0
"706",90,30,7.94999999999982,0.8,130,1
"349",91,31,7.98600000000033,0.35,140,0
"667",90,64,7.99299999999948,0.75,130,0
"388",91,26,8.0029999999997,0.4,140,1
"389",90,2,8.02100000000019,0.4,140,0
"746",89,5,8.04799999999977,0.85,130,1
"110",91,20,8.06799999999998,0.05,150,1
"428",90,7,8.07299999999987,0.45,140,1
"348",91,34,8.10399999999981,0.35,140,1
"150",91,6,8.12199999999984,0.1,150,1
"468",91,90,8.12300000000005,0.5,140,1
"111",91,7,8.12699999999995,0.05,150,0
